papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BESP3,330.0,10.38,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.0,0.0,5183100000.0,0.0,0.0183
BESP4,344.0,10.82,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.0,0.0,5183100000.0,0.0,0.0183
BFIT3,0.98,18.49,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1115,0.0,0.0,1849420000.0,0.0,0.3567
BFIT4,0.93,17.55,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1115,0.0,0.0,1849420000.0,0.0,0.3567
BGIP3,25.5,5.16,0.65,0.0,0.08800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268,0.0,122.88,595556000.0,0.0,0.0121
BGIP4,17.61,3.56,0.45,0.0,0.1401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268,0.0,90320.5,595556000.0,0.0,0.0121
BHGR3,19.1,-272.16,1.1,3.613,0.0,0.855,-194.45,23.7,-8.56,25.95,14.2,0.1524,-0.0131,0.0393,-0.004,0.96,0.0,1077600000.0,0.2,0.20670000000000002
BICB3,8.0,-2.35,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,0.0,944626000.0,0.0,-0.3119
BICB4,8.25,-2.43,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,0.0,944626000.0,0.0,-0.3119
BIDI11,10.4,229.93,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699999999999999,0.0,0.0,8348550000.0,0.0,0.37
BIDI3,3.4,225.51,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699999999999999,0.0,0.0,8348550000.0,0.0,0.37
BIDI4,3.41,226.17,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699999999999999,0.0,0.0,8348550000.0,0.0,0.37
BIOM3,3.8,-3.34,1.94,2.943,0.0,0.763,3.39,-4.18,-4.94,-5.1,-5.1,-0.7040000000000001,-0.8819,-0.2772,-0.5817,1.98,126565.0,159109000.0,1.08,1.9721000000000002
BIOM4,8.68,-7.62,4.43,6.723,0.0,1.742,7.75,-9.55,-11.29,-10.47,-10.47,-0.7040000000000001,-0.8819,-0.2772,-0.5817,1.98,0.0,159109000.0,1.08,1.9721000000000002
BISA3,1.58,-1.77,1.18,1.692,0.0,0.321,0.86,-4.02,-7.64,-6.21,-9.28,-0.4205,-0.9636,-0.085,-0.6694,2.22,0.0,1788370000.0,0.77,-0.24230000000000002
